RILS,BLOCK,Genos,LPCs,PCs,PCs_LPCs,PC32_1-LPC_18_1,PC34_1-LPC_18_1,PC36_1-LPC_18_1,PC36_2-LPC_18_1,PC32_1-LPC_18_2,PC34_1-LPC_18_2,PC36_1-LPC_18_2,PC36_2-LPC_18_2,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_5_A,PC_38_2,PC_38_5_A,PC_p_36_3__PC_o_36_4,PE_34_2,SM_d32_1,TG_46_3,TG_48_0,TG_48_3,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_3,TG_54_4,TG_54_5,TG_56_4
LANMLR17B120,MT1,RIL,4208648,5684721,1.350723795,0.08775910075,0.5721062479,0.04555164337,0.7192504309,0.001876245883,0.01223134676,0.0009738714572,0.01537721613,131092,15166,67879,3174957,819554,5835,24351,5957,4087,85000,38834,1820333,1416694,20509,35251,74503,3092,48822,37802,86580,794782,1116691,9168,5423,51007,57018,20936,13199,13751,5356,14701,110173,114012,12169,31381,31457,36765,405139,968274,739085,14342,35336,93037,5965
LANMLR17B047,MT1,RIL,4313322,6029994,1.397993009,0.03780104712,0.7291765826,0.0775249881,0.705473584,0.001140807408,0.0220060054,0.002339646318,0.02129066658,79217,11720,105050,3480868,636467,21010,28275,3971,9849,26701,76600,NA,2089646,25087,39535,44289,8144,74110,155095,83853,1592027,1724013,8925,12922,NA,61999,22848,NA,5340,NA,19579,75499,NA,NA,NA,31419,48262,429863,840914,488729,17457,57158,138150,NA
LANMLR17B094,MT1,RIL,7162313,10165827,1.419349727,0.1353200742,1.538440877,0.113934898,2.228995332,0.002308166393,0.0262413212,0.001943397564,0.03802016919,79011,NA,78185,4583725,2421392,NA,17013,10580,15555,15300,120283,3617209,2005255,21651,34795,24058,8908,174274,201489,146133,1674990,2000580,10936,9858,16590,318915,4243,NA,6179,NA,110203,74101,20886,NA,7409,50472,24842,NA,NA,7171,48525,101203,NA,NA
LANMLR17B024,MT1,RIL,7060605,10065341,1.425563532,0.05563440642,0.7657207635,0.05145479848,1.20680995,0.0020417772,0.02810187611,0.001888386003,0.04428980552,99065,NA,217006,5912986,831548,NA,30736,12073,15427,21261,166166,3814854,1734696,21550,56661,41962,11166,261885,209867,174492,1632453,1786383,12206,10495,25090,60683,2183,NA,7328,NA,265743,184768,61612,NA,7102,76609,21642,NA,NA,16521,83769,152301,NA,NA
LANMLR17B036,MT1,RIL,7106055,10146175,1.427821062,0.06510073584,0.809747973,0.0584332123,1.0802245,0.00229319463,0.02852363617,0.002058328941,0.03805125996,147192,NA,186726,5300902,1471235,NA,32454,12156,16303,37514,151201,3330997,1502706,28770,71068,64011,10911,201706,264308,155480,1880597,2234675,11598,15773,36186,429680,NA,NA,9360,NA,53640,35265,17249,NA,11397,41889,20827,NA,NA,6313,52992,132015,NA,NA
LANMLR17B060,MT1,RIL,7919000,11314277,1.428750726,0.09793441032,1.037232658,0.03668408504,1.1358985,0.002612979217,0.02767431152,0.0009787647823,0.03030680598,137553,38250,142187,5329166,2271844,4139,22646,13925,20729,35712,147481,5002055,2522692,33938,50545,68968,5216,161510,326546,173569,2520321,46798,3432,23127,NA,225947,NA,NA,20256,NA,22519,75905,52084,13448,26434,37757,56042,513687,899848,NA,21702,62892,180119,5421
LANMLR17B113,MT3,RIL,6759675,10294456,1.522921738,0.0511675273,1.012231502,0.07480587333,1.452914252,0.001768062011,0.03497702858,0.002584870323,0.05020454632,104945,NA,180681,5228889,1245160,NA,32915,9245,15948,19798,182891,3824871,1478369,22966,57867,42304,13516,262514,283628,151261,1936184,1866331,13975,13726,29867,235090,2802,NA,6317,NA,66085,44046,70098,NA,11602,88293,26423,NA,NA,8479,118647,322053,NA,NA
LANMLR17B035,MT2,RIL,3970007,6326695,1.593623135,0.0480461768,0.7514061296,0.05178492367,0.9881606349,0.0009248597243,0.01446411165,0.0009968283309,0.0190214921,67575,13240,60983,3168048,660161,4800,16199,2930,5031,17774,45823,1846126,1343043,15296,33794,42429,3158,60261,117704,117951,1211608,1402780,2214,10895,26879,130958,14386,9050,3281,8809,8629,60547,48245,11557,26632,22961,30686,390726,825589,574799,10447,46347,123426,6374
LANMLR17B091,MT1,RIL,4325871,7048056,1.629280207,0.03339749073,0.4227972626,0.03056743656,0.4903906473,0.001284421326,0.01626019826,0.001175581355,0.0188597464,180144,20404,140280,3647557,337486,4412,42905,4685,2959,164416,59310,2290127,906412,20875,58856,123078,4288,68792,134627,62077,1648099,1349481,10915,7877,83865,146294,16622,2966,16924,2386,20706,49482,30568,3889,14250,28379,43042,239695,290215,148773,17889,29182,70592,1654
LANMLR17B043,MT3,RIL,6529942,10660495,1.632555848,0.08665827074,1.08984018,0.07435971736,1.513245882,0.00316066379,0.03974944763,0.002712101962,0.05519220986,98217,NA,179452,4920169,1332104,NA,34699,15551,25181,173717,195574,3508021,1558621,25760,53252,56260,13344,271555,281266,162534,2043321,2149139,13653,14768,29714,463921,NA,NA,5484,NA,37831,32404,77067,NA,8778,45948,21358,NA,NA,6448,62180,172987,NA,NA
LANMLR17B121,MT1,RIL,4507495,7374734,1.636104754,0.0308717569,0.9943895423,0.08518212628,1.206390795,0.0006898548696,0.02222045445,0.001903464866,0.0269577973,51011,7574,70226,3142690,1235994,1750,8510,2168,13091,20451,69832,2550646,1274466,15639,32870,20112,5982,84720,158653,106685,1397983,1583900,7086,7699,12491,105054,4960,13833,6284,11986,6010,23119,21067,9290,33599,10534,15324,156155,256301,158713,5753,18062,46313,961
LANMLR17B113,MT1,RIL,4484474,7337601,1.636223334,0.05906169129,1.175578095,0.0560981718,1.318536606,0.0009422020627,0.01875381625,0.0008949254928,0.02103441135,57571,8511,47916,3003602,1366874,2688,13332,2830,11065,17105,56329,2494938,1465801,14654,27160,16776,2688,63179,122006,87110,1327220,1585816,6925,6845,13134,82505,5975,1995,1804,847,4741,27576,25297,1635,10356,10678,14628,166128,330958,216344,5533,15535,40217,2540
LANMLR17B011,MT1,RIL,4381164,7218993,1.647734027,0.05163402619,0.6978553406,0.04696323441,1.123272858,0.001017767111,0.01375554584,0.0009257003366,0.02214102321,72755,11235,66584,3377983,852607,13086,14779,3438,12712,194697,46466,2183170,1404469,19041,41992,53409,3127,74792,119735,130758,1352278,1502217,2857,5691,40279,108542,13888,3495,10410,4187,3529,27544,22557,3678,20707,15966,17026,162567,320390,226535,9695,24488,60380,4469
LANMLR17B152,MT1,RIL,4176702,6914953,1.655601238,0.05541632604,0.9664419636,0.03200343085,1.117828377,0.001518300385,0.02647864466,0.0008768322416,0.03062634022,67797,11165,74617,2723440,1299683,9555,24361,4135,14385,65938,72113,2109393,1305817,15716,25284,37439,2388,83409,145976,137854,1204415,1628052,2450,4277,21996,93395,14921,1643,11446,1874,62529,58188,63784,12522,11837,101528,87123,285470,271971,266680,77512,107729,133464,6390
LANMLR17B052,MT3,RIL,4255426,7185584,1.68856984,0.03199200913,0.7534674658,0.08758561644,1.129452055,0.0007652773004,0.01802361164,0.002095125812,0.02701749727,79688,6425,70080,2929657,1169576,3429,10363,2242,9845,13869,52803,2454546,1194937,8905,25245,9573,6138,79152,139430,83413,1652050,1427965,2916,1570,7193,107234,2666,5184,4385,4197,6360,62299,39451,7770,13943,23254,36282,298321,412909,193843,10320,46574,97019,10466
B73_NAM,MT1,B73,4261712,7333289,1.720737816,0.02292304294,0.6775155397,0.06166976935,0.9955983971,0.000412612716,0.01219521892,0.001110050314,0.01792068181,63294,13147,63386,3521462,600423,8356,9655,1453,3108,89183,42945,1986769,1497355,9146,26632,14093,3909,63107,105407,65561,1841751,1544661,3203,4266,12729,94060,6397,2227,4158,6250,3630,42215,30833,2819,9738,16611,20183,171509,296460,242195,3323,24197,50638,4137
B73_NAM,MT1,B73,4179187,7256137,1.73625564,0.07064027018,1.31353597,0.1144177371,1.669012393,0.001630085662,0.03031098474,0.002640288779,0.0385139123,61415,9539,70767,3066710,970756,2191,13500,4999,16692,19195,92955,3162722,1479843,20482,42383,37531,8097,118111,222945,142376,1805973,46572,2922,9648,7000,87472,9202,3561,7737,1478,7385,39066,25570,1887,13638,16846,31475,287923,420278,198497,9926,38331,108133,2450
