gene,expression,samp,tissue_key,tissue,temp_tx,fertilizer_tx,line
ZmPla1.2,2.929487996,GC72_P4_ILLSINHA38,0,V3 Leaf tissue,control,high,PT
ZmPla1.2,3.366183389,GC72_P5_ILLSINHA44,0,V3 Leaf tissue,control,high,F1
ZmPla1.2,3.396146807,GC72_P4_ILLSINHA43,0,V3 Leaf tissue,control,low,F1
ZmPla1.2,3.424674781,GC72_P2_ILLSINHA54,0,V3 Leaf tissue,cold,low,PT
ZmPla1.2,3.452310782,GC72_P4_ILLSINHA39,0,V3 Leaf tissue,control,high,B73
ZmPla1.2,3.496475273,GC72_P6_ILLSINHA1,0,V3 Leaf tissue,control,high,F1
ZmPla1.2,3.519402032,GC72_P1_ILLSINHA95,0,V3 Leaf tissue,cold,low,F1
ZmPla1.2,3.528595495,GC72_P1_ILLSINHA39,0,V3 Leaf tissue,control,high,F1
ZmPla1.2,3.665783653,GC72_P2_ILLSINHA45,0,V3 Leaf tissue,control,high,B73
ZmPla1.2,3.69373634,GC72_P3_ILLSINHA59,0,V3 Leaf tissue,cold,low,F1
ZmPla1.2,3.879386537,GC72_P3_ILLSINHA9,0,V3 Leaf tissue,control,low,B73
ZmPla1.2,3.955584803,GC72_P3_ILLSINHA8,0,V3 Leaf tissue,control,low,PT
ZmPla1.2,3.974308965,GC72_P5_ILLSINHA2,0,V3 Leaf tissue,control,low,PT
ZmPla1.2,3.992208737,GC72_P1_ILLSINHA94,0,V3 Leaf tissue,cold,low,PT
ZmPla1.2,4.013385778,GC72_P6_ILLSINHA55,0,V3 Leaf tissue,cold,high,PT
ZmPla1.2,4.083131837,GC72_P1_ILLSINHA37,0,V3 Leaf tissue,control,high,PT
ZmPla1.2,4.272681096,GC72_P1_ILLSINHA89,0,V3 Leaf tissue,cold,high,PT
ZmPla1.2,4.305885171,GC72_P1_ILLSINHA43,0,V3 Leaf tissue,control,low,PT
ZmPla1.2,4.386226297,GC72_P4_ILLSINHA95,0,V3 Leaf tissue,cold,low,PT
ZmPla1.2,4.409614001,GC72_P3_ILLSINHA54,0,V3 Leaf tissue,cold,high,F1
ZmPla1.2,4.559490387,GC72_P2_ILLSINHA53,0,V3 Leaf tissue,cold,low,F1
ZmPla1.2,4.625309844,GC72_P2_ILLSINHA52,0,V3 Leaf tissue,cold,low,B73
ZmPla1.2,4.701252847,GC72_P6_ILLSINHA7,0,V3 Leaf tissue,control,low,F1
ZmPla1.2,4.707605699,GC72_P5_ILLSINHA43,0,V3 Leaf tissue,control,high,PT
ZmPla1.2,4.788991616,GC72_P5_ILLSINHA3,0,V3 Leaf tissue,control,low,B73
ZmPla1.2,4.802569844,GC72_P5_ILLSINHA53,0,V3 Leaf tissue,cold,low,PT
ZmPla1.2,4.806845783,GC72_P6_ILLSINHA60,0,V3 Leaf tissue,cold,low,B73
ZmPla1.2,4.824366824,GC72_P2_ILLSINHA43,0,V3 Leaf tissue,control,high,PT
ZmPla1.2,4.889599131,GC72_P6_ILLSINHA9,0,V3 Leaf tissue,control,low,PT
ZmPla1.2,4.940451207,GC72_P3_ILLSINHA55,0,V3 Leaf tissue,cold,high,PT
ZmPla1.2,4.941249289,GC72_P3_ILLSINHA1,0,V3 Leaf tissue,control,high,B73
ZmPla1.2,4.989452298,GC72_P3_ILLSINHA53,0,V3 Leaf tissue,cold,high,B73
ZmPla1.2,5.062020096,GC72_P6_ILLSINHA59,0,V3 Leaf tissue,cold,low,F1
ZmPla1.2,5.168178665,GC72_P4_ILLSINHA94,0,V3 Leaf tissue,cold,low,F1
ZmPla1.2,5.296983428,GC72_P5_ILLSINHA1,0,V3 Leaf tissue,control,low,F1
ZmPla1.2,5.3738513,GC72_P4_ILLSINHA90,0,V3 Leaf tissue,cold,high,B73
ZmPla1.2,5.396394747,GC72_P6_ILLSINHA2,0,V3 Leaf tissue,control,high,B73
ZmPla1.2,5.514750109,GC72_P3_ILLSINHA61,0,V3 Leaf tissue,cold,low,B73
ZmPla1.2,5.575583174,GC72_P6_ILLSINHA61,0,V3 Leaf tissue,cold,low,PT
ZmPla1.2,5.723905079,GC72_P5_ILLSINHA52,0,V3 Leaf tissue,cold,low,F1
ZmPla1.2,5.816290203,GC72_P4_ILLSINHA44,0,V3 Leaf tissue,control,low,PT
ZmPla1.2,6.026369075,GC72_P1_ILLSINHA90,0,V3 Leaf tissue,cold,high,F1
ZmPla1.2,6.852586357,GC72_P6_ILLSINHA53,0,V3 Leaf tissue,cold,high,F1
ZmPla1.2,7.078241286,GC72_P4_ILLSINHA96,0,V3 Leaf tissue,cold,low,B73
