SAMPLE ID,Genotype,N,P31,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B,Na,Al,N Index,P Index,K Index,Ca Index,Mg Index,S Index,Fe Index,Mn Index,Zn Index,Cu Index,B Index,N:S,N:K,Fe:Mn
15.2,WT,2.16,0.19,1.85,0.19,0.15,0.15,66.4,13.9,32.3,6.17,4.54,0.01,33.9,39,31,57,50,53,53,54,44,61,53,51,14.4,1.17,4.77
16.1,CR,2.02,0.18,1.72,0.21,0.18,0.15,63.8,18.2,38.7,5.71,4.68,0.01,33.1,35,28,53,51,54,53,54,51,66,53,51,13.4,1.17,3.5
16.2,CR,2.16,0.18,1.77,0.21,0.18,0.16,64.9,16.9,36,6.3,4.67,0.01,27.1,39,28,55,51,54,54,54,50,64,53,51,13.5,1.22,3.84
17.1,WT,2.17,0.21,1.95,0.26,0.18,0.19,71.5,16.9,25.6,5.88,4.46,0.01,36.3,39,39,60,53,54,56,55,50,57,53,51,11.6,1.11,4.22
17.2,WT,2.09,0.22,1.88,0.25,0.19,0.16,66.2,15.9,29.9,5.9,4.34,0.01,28.4,37,41,58,52,55,55,54,50,60,53,51,12.7,1.11,4.15
18.1,CR,2.14,0.22,1.79,0.24,0.17,0.16,78.5,17.9,31.8,6.26,4.48,0.01,53.9,39,42,55,52,54,54,55,51,61,53,51,13.2,1.19,4.38
18.2,CR,2,0.2,1.96,0.22,0.16,0.15,74.6,17.7,29.1,5.96,4.54,0.01,39.2,34,37,60,51,53,54,55,50,59,53,51,13,1.02,4.22
19.1,WT,2.22,0.18,1.78,0.27,0.18,0.14,71.4,29.6,57.1,6.53,4.5,0.01,44.7,41,29,55,53,55,53,55,53,78,54,51,15.6,1.25,2.42
19.2,WT,2.29,0.19,1.93,0.28,0.2,0.15,85,26.1,60.2,7.17,4.86,0.01,59,43,32,59,54,55,54,56,52,80,55,51,14.8,1.19,3.26
20.1,CR,1.88,0.2,1.49,0.25,0.19,0.13,62.9,20.3,35.9,5.1,4.15,0.01,32.5,31,35,45,52,55,52,54,51,64,52,50,14,1.26,3.11
