ZmLpcat1,samp,experiment,plate,well,barcode,tube_num_full,tube_num,tissue_key,tissue,ID,temp_tx,fertilizer_tx,tray,pot,line,source,tissue_stage,date_planted,emergence_date,unique_id,harvest_date,genotype,inv4m_genotype,uniqueID,file,Filename,fastqc,Total_Sequences,plant,NEWID,new_line,new_inv4m_genotype,full_geno,group,inv_temp,fert_temp,fert_temp_geno
6.483173214,GC73_P5_ILLSINHA1,gc73,5,H1,ILLSINHA1,122,122,0,V3_Leaf_tissue,gc73160,warm,low,9,8,F1,,V3,4/21/17,4/25/17,warm_9_8_V3,5/2/17,F1,H,gc73160_0,GC73_P5_ILLSINHA1_1.fq.gz,GC73_P5_ILLSINHA1_1.fq.gz,,,gc73_5_warm_low_9_8_V3,gc73_5_warm_low_9_8_V3_V3_Leaf_tissue,,H,F1_,warm_NA_H,H_warm,low_warm,low_warm_F1
5.924077385,GC73_P5_ILLSINHA2,gc73,5,G1,ILLSINHA2,120,120,0,V3_Leaf_tissue,gc73156,warm,low,9,6,PT,,V3,4/21/17,4/24/17,warm_9_6_V3,5/2/17,PT,Inv4m,gc73156_0,GC73_P5_ILLSINHA2_1.fq.gz,GC73_P5_ILLSINHA2_1.fq.gz,,,gc73_5_warm_low_9_6_V3,gc73_5_warm_low_9_6_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
6.310001278,GC73_P5_ILLSINHA3,gc73,5,F1,ILLSINHA3,127,127,0,V3_Leaf_tissue,gc73172,warm,low,10,5,B73,,V3,4/21/17,4/26/17,warm_10_5_V3,5/2/17,B73,B73,gc73172_0,GC73_P5_ILLSINHA3_1.fq.gz,GC73_P5_ILLSINHA3_1.fq.gz,,,gc73_5_warm_low_10_5_V3,gc73_5_warm_low_10_5_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
6.314536194,GC73_P5_ILLSINHA4,gc73,5,E1,ILLSINHA4,127.1,127,1,V3_Primary_root,gc73172,warm,low,10,5,B73,,V3,4/21/17,4/26/17,warm_10_5_V3,5/2/17,B73,B73,gc73172_1,GC73_P5_ILLSINHA4_1.fq.gz,GC73_P5_ILLSINHA4_1.fq.gz,,,gc73_5_warm_low_10_5_V3,gc73_5_warm_low_10_5_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
4.821161136,GC73_P5_ILLSINHA43,gc73,5,F6,ILLSINHA43,116,116,0,V3_Leaf_tissue,gc73086,warm,high,5,7,PT,,V3,4/21/17,4/25/17,warm_5_7_V3,5/2/17,PT,Inv4m,gc73086_0,GC73_P5_ILLSINHA43_1.fq.gz,GC73_P5_ILLSINHA43_1.fq.gz,pass,499294,gc73_5_warm_high_5_7_V3,gc73_5_warm_high_5_7_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
6.563865844,GC73_P5_ILLSINHA44,gc73,5,E6,ILLSINHA44,107,107,0,V3_Leaf_tissue,gc73064,warm,high,4,5,F1,,V3,4/21/17,4/25/17,warm_4_5_V3,5/2/17,F1,H,gc73064_0,GC73_P5_ILLSINHA44_1.fq.gz,GC73_P5_ILLSINHA44_1.fq.gz,pass,3422070,gc73_5_warm_high_4_5_V3,gc73_5_warm_high_4_5_V3_V3_Leaf_tissue,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
6.597683904,GC73_P5_ILLSINHA45,gc73,5,D6,ILLSINHA45,115,115,0,V3_Leaf_tissue,gc73084,warm,high,5,6,B73,,V3,4/21/17,4/26/17,warm_5_6_V3,5/2/17,B73,B73,gc73084_0,GC73_P5_ILLSINHA45_1.fq.gz,GC73_P5_ILLSINHA45_1.fq.gz,pass,1218344,gc73_5_warm_high_5_6_V3,gc73_5_warm_high_5_6_V3_V3_Leaf_tissue,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
6.352312645,GC73_P5_ILLSINHA47,gc73,5,B6,ILLSINHA47,116.1,116,1,V3_Primary_root,gc73086,warm,high,5,7,PT,,V3,4/21/17,4/25/17,warm_5_7_V3,5/2/17,PT,Inv4m,gc73086_1,GC73_P5_ILLSINHA47_1.fq.gz,GC73_P5_ILLSINHA47_1.fq.gz,pass,4467546,gc73_5_warm_high_5_7_V3,gc73_5_warm_high_5_7_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
6.43673269,GC73_P5_ILLSINHA48,gc73,5,A6,ILLSINHA48,115.1,115,1,V3_Primary_root,gc73084,warm,high,5,6,B73,,V3,4/21/17,4/26/17,warm_5_6_V3,5/2/17,B73,B73,gc73084_1,GC73_P5_ILLSINHA48_1.fq.gz,GC73_P5_ILLSINHA48_1.fq.gz,pass,8440585,gc73_5_warm_high_5_6_V3,gc73_5_warm_high_5_6_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,high_warm,high_warm_B73
5.99900127,GC73_P5_ILLSINHA49,gc73,5,H7,ILLSINHA49,299.1,299,1,V3_Primary_root,gc73262,cold,high,5,5,F1,,V3,4/21/17,4/29/17,cold_5_5_V3,5/16/17,F1,H,gc73262_1,GC73_P5_ILLSINHA49_1.fq.gz,GC73_P5_ILLSINHA49_1.fq.gz,pass,3716657,gc73_5_cold_high_5_5_V3,gc73_5_cold_high_5_5_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,high_cold,high_cold_F1
