numinSet,sample,geno,geno-id,group,Run,fullnum,ICP.run,WR.run,ICP.runnum,run.date,SampleWeight,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
34,RS18-143.1,PALOME,CIMMYTMA-002233,mexico,30,30,1,1,30,01:39:14 Fri 20-Jul-18,77.2,0.083121362,47.31558579,48.15844971,1576.620813,39.48227268,3282.709113,2656.928985,21023.91352,4288.90446,205.9143327,105.486204,0.102767311,0.127419575,12.33042717,27.24806755,0.409068337,0.091549258,3.170730477,27.1137468,1.723804159,0.065008735
35,RS18-150.1,CONMOR9,CIMMYTMA-012471,peru,29,29,1,1,29,01:35:13 Fri 20-Jul-18,75.4,0.053947953,63.26882554,97.5449195,1848.278713,41.5469145,2510.249779,2493.943478,23020.81375,6298.58684,191.4417899,194.5158898,0.065692164,0.068794299,12.86832988,38.75180976,0.322720883,0.088810283,9.505270153,39.21311422,2.922663268,0.022847751
37,RS18-149.4,HUANCA,CIMMYTMA-012807,peru,42,42,1,1,42,02:27:39 Fri 20-Jul-18,84.7,0.043510315,88.81275533,109.4921417,2865.570875,30.65194941,1721.869246,1229.291347,15082.36246,7530.539301,134.2426163,193.7393153,0.038528946,0.146371091,8.940214037,18.48921655,0.380562095,0.100535586,4.998981086,51.46915853,2.477655744,0.013549997
38,RS18-146.2,CPUNTI,CIMMYTMA-018249,peru,43,43,1,1,43,02:31:41 Fri 20-Jul-18,81.3,0.032135668,84.699264,42.51554493,2103.386348,14.90171631,1747.175278,585.7308757,19013.05999,7887.575009,78.5630389,84.75073908,0.107868724,0.093954335,7.460030421,50.58863308,0.148756842,0.069920015,9.387549299,32.90310315,1.704419728,0.014418624
39,RS18-144.2,CONICO,CIMMYTMA-016018,mexico,44,44,1,1,44,02:35:42 Fri 20-Jul-18,78.3,0.091997106,110.3753321,66.3700858,2330.021234,33.89911267,2311.091003,2138.17044,17655.41112,14183.72297,160.5312111,181.0518818,0.192504932,0.131138296,12.38032421,95.65904973,0.421366778,0.079962959,5.153134573,40.53869856,2.245405853,0.374075739
40,RS18-B73.1,B73,B73,B73,45,45,1,1,45,02:39:44 Fri 20-Jul-18,77.9,0.026790659,222.0908,49.11197611,2017.064463,18.04182666,1671.700975,1303.396233,18788.76345,5874.714615,97.15480798,43.60422224,0.041426563,0.133714446,10.43450473,15.53612594,0.152928293,0.041053165,3.463663308,30.46085664,1.12920427,0.008317349
41,RS18-144.1,CONICO,CIMMYTMA-016018,mexico,46,46,1,1,46,02:43:46 Fri 20-Jul-18,76.9,0.131583225,64.78652059,59.0262282,1339.115223,26.14515581,2641.37165,1812.391794,23406.31371,7149.627586,171.7328244,111.7472703,0.110417352,0.155230134,6.996464706,42.05093259,0.446889661,0.057580148,6.339666564,28.36534326,2.094549782,0.585056406
42,RS18-149.5,HUANCA,CIMMYTMA-012807,peru,47,47,1,1,47,02:47:47 Fri 20-Jul-18,81.4,0.04515986,82.38577655,105.4327529,1438.948103,35.48643322,2306.285366,661.3192589,24955.79888,3415.790149,162.5819175,43.62212159,0.037203181,0.081424419,5.610452988,10.48551576,0.247521275,0.06476443,8.903664374,21.70710016,1.585507983,0.009205318
43,RS18-144.4,CONICO,CIMMYTMA-016018,mexico,48,48,1,1,48,02:51:49 Fri 20-Jul-18,79.1,0.061749839,77.63559915,64.55752632,1748.283674,36.01566813,2458.65185,998.4849111,21353.9153,6352.684674,148.3296062,140.370829,0.054972315,0.092587554,10.24313729,25.98988103,0.405986202,0.069907025,9.135276131,32.0882168,1.652318735,0.198444967
44,RS18-143.2,PALOME,CIMMYTMA-002233,mexico,49,49,1,1,49,02:55:51 Fri 20-Jul-18,80,0.163212866,79.5919411,68.23092846,2047.018785,44.69915488,2822.441463,3173.839931,18074.47992,13022.2826,170.0341237,133.0299251,0.259167459,0.178397331,16.01546863,113.5584859,0.496086993,0.088688089,5.091739512,35.8501863,3.096195099,0.047209375
45,RS18-145.5,AZUL,CIMMYTMA-016091,mexico,50,50,1,1,50,02:59:52 Fri 20-Jul-18,83,0.121058711,114.9300414,79.28465037,2440.962731,37.73914643,2555.472076,2150.218743,20168.25727,13477.4998,126.9077875,122.8858622,0.257423999,0.341494849,10.20331078,132.140075,0.335162373,0.081789169,7.930930098,29.57493254,2.521890194,0.038863301
46,RS18-145.4,AZUL,CIMMYTMA-016091,mexico,52,52,1,1,52,03:08:00 Fri 20-Jul-18,81.6,0.142479544,77.20510216,99.34170191,1408.099735,53.47668244,1951.2423,2130.915538,18593.08912,11532.41085,164.6718751,91.81553114,0.215447626,0.476456509,11.50868554,116.5445329,0.530665618,0.078734733,3.914909975,13.21216033,2.616102969,0.294426964
47,RS18-150.2,CONMOR9,CIMMYTMA-012471,peru,53,53,1,1,53,03:12:02 Fri 20-Jul-18,78.9,0.086376812,78.54760769,79.85087155,1652.043779,42.55583782,2658.993333,1366.849113,22735.5509,6563.026092,169.0887617,222.8054741,0.068994619,0.100767256,6.080999472,58.90243117,0.679046409,0.066185153,6.528869924,38.80692111,2.269957491,0.04302208
48,RS18-141.3,CACAHU,CIMMYTMA-007571,mexico,54,54,1,1,54,03:16:03 Fri 20-Jul-18,75.8,0.031081426,62.53198054,71.14872179,2516.35958,29.14328849,1737.512608,2467.657775,18376.43953,6538.989729,127.8558074,40.1246677,0.0289503,0.128325723,14.17930259,25.25322595,0.299148945,0.065220198,5.979588726,40.86941418,3.544947491,0.275173501
49,RS18-B73.2,B73,B73,B73,67,67,1,1,67,04:08:28 Fri 20-Jul-18,77.9,0.015977277,160.6667373,30.58744065,1889.800395,17.05177088,1664.213717,1308.326844,19022.70187,4493.812524,103.5599255,33.21267618,0.02090839,0.073223194,12.31258817,20.08302597,0.118793786,0.044498824,5.20635716,21.13745232,1.27626985,0.005646421
50,RS18-144.5,CONICO,CIMMYTMA-016018,mexico,66,66,1,1,66,04:04:26 Fri 20-Jul-18,75.1,0.035511467,93.77183086,59.78052045,1957.162071,16.81589457,2183.273856,1788.59229,18206.72831,4244.34305,128.2196832,115.7693538,0.030584386,0.087744581,8.567746255,23.16261602,0.253573116,0.095042161,7.334180443,27.21634725,1.557533586,0.084771348
51,RS18-142.3,ARROAM,CIMMYTMA-020943,mexico,65,65,1,1,65,04:00:24 Fri 20-Jul-18,80.3,0.076792394,71.53959333,80.70420629,2436.805725,27.22434359,1947.149283,1840.864677,13718.2475,8787.787816,165.99411,37.56425634,0.106353688,0.205469875,12.49069992,60.08370578,0.354977663,0.083289451,4.167883401,36.88185685,2.25537386,0.119040746
52,RS18-B73.8,B73,B73,B73,64,64,1,1,64,03:56:23 Fri 20-Jul-18,87.6,0.008207675,103.5129392,29.05531977,2258.388217,11.01798908,1457.144928,892.8492077,17339.7986,4687.575005,66.44418102,40.6127172,0.022995805,0.089236139,10.33288755,20.58888544,0.102597384,0.044820926,8.078731684,21.96257121,0.974899178,0.007675366
