sample_id	accn_GID	testcross_GID
SEEDGWAS1707	28856	242778
SEEDGWAS1708	28858	242779
SEEDGWAS1709	28882	242780
SEEDGWAS171	11628	241241
SEEDGWAS1710	28888	242781
SEEDGWAS1711	28891	242782
SEEDGWAS1712	28964	242783
SEEDGWAS1713	28965	242784
SEEDGWAS1714	28966	242785
SEEDGWAS1715	28967	242786
SEEDGWAS1716	28968	242787
SEEDGWAS1717	28969	242788
SEEDGWAS1719	28974	242790
SEEDGWAS172	11630	241242
SEEDGWAS1720	28983	242791
SEEDGWAS1721	28989	242792
SEEDGWAS1722	29057	242793
SEEDGWAS1723	29071	242794
SEEDGWAS1724	29093	242795
SEEDGWAS1725	29095	242796
SEEDGWAS1726	29097	242797
SEEDGWAS1727	29099	242798
SEEDGWAS1728	29102	242799
SEEDGWAS1729	29135	242800
SEEDGWAS173	11635	241243
SEEDGWAS1730	29137	242801
SEEDGWAS1731	29153	242802
SEEDGWAS1732	29157	242803
SEEDGWAS1733	29165	242804
SEEDGWAS1736	29290	242807
SEEDGWAS1737	29292	242808
SEEDGWAS1739	29314	242810
SEEDGWAS174	11675	241244
SEEDGWAS1740	29329	242811
SEEDGWAS1741	29339	242812
SEEDGWAS1742	29352	242813
SEEDGWAS1743	29353	242814
SEEDGWAS1744	29357	242815
SEEDGWAS1745	29384	242816
SEEDGWAS1746	29443	242817
SEEDGWAS1747	29450	242818
SEEDGWAS1748	29452	242819
SEEDGWAS1749	29568	242820
SEEDGWAS1751	29583	242822
SEEDGWAS1752	29584	242823
SEEDGWAS1753	839	242824
SEEDGWAS1754	841	242825
SEEDGWAS1755	2823	242826
SEEDGWAS1756	2856	242827
SEEDGWAS1759	3300	242830
SEEDGWAS176	11702	241246
SEEDGWAS1760	3303	242831
SEEDGWAS1761	3309	242832
SEEDGWAS1762	3329	242833
SEEDGWAS1763	3431	242834
SEEDGWAS1764	3844	242835
SEEDGWAS1765	3845	242836
SEEDGWAS1766	5408	242837
SEEDGWAS1767	5792	242838
SEEDGWAS1768	5850	242839
SEEDGWAS1769	6722	242840
SEEDGWAS177	11706	241247
SEEDGWAS1770	6733	242841
SEEDGWAS1771	7052	242842
SEEDGWAS1772	7125	242843
SEEDGWAS1773	7169	242844
SEEDGWAS1774	7428	242845
SEEDGWAS1775	7801	242846
SEEDGWAS1776	7827	242847
SEEDGWAS1777	7886	242848
SEEDGWAS1778	8097	242849
SEEDGWAS1779	8254	242850
SEEDGWAS178	11739	241248
SEEDGWAS1780	8259	242851
SEEDGWAS1781	8261	242852
SEEDGWAS1782	8262	242853
SEEDGWAS1783	8267	242854
SEEDGWAS1784	8287	242855
SEEDGWAS1785	8356	242856
SEEDGWAS1786	8440	242857
SEEDGWAS1788	8875	242859
SEEDGWAS1789	8935	242860
SEEDGWAS179	11751	241249
SEEDGWAS1790	12041	242861
SEEDGWAS1791	12796	242862
SEEDGWAS1792	12816	242863
SEEDGWAS1793	12822	242864
SEEDGWAS1794	15961	242865
SEEDGWAS1795	16022	242866
SEEDGWAS1796	16047	242867
SEEDGWAS1797	16280	242868
SEEDGWAS1798	16293	242869
SEEDGWAS1799	16299	242870
SEEDGWAS18	5584	241088
SEEDGWAS180	11778	241250
SEEDGWAS1800	21863	242871
SEEDGWAS1802	23928	242873
SEEDGWAS1803	24105	242874
SEEDGWAS1804	24250	242875
SEEDGWAS1805	24281	242876
SEEDGWAS1806	24630	242877
SEEDGWAS1807	24977	242878
SEEDGWAS1809	25422	242880
SEEDGWAS1810	25427	242881
SEEDGWAS1811	25483	242882
SEEDGWAS1812	25489	242883
SEEDGWAS1814	26456	242885
SEEDGWAS1815	26459	242886
SEEDGWAS1816	26461	242887
SEEDGWAS1818	26519	242889
SEEDGWAS1819	26521	242890
SEEDGWAS182	11804	241252
SEEDGWAS1820	26547	242891
SEEDGWAS1821	26568	242892
SEEDGWAS1822	26569	242893
SEEDGWAS1823	26576	242894
SEEDGWAS1824	26662	242895
SEEDGWAS1825	26718	242896
SEEDGWAS1826	26727	242897
SEEDGWAS1827	26734	242898
SEEDGWAS1828	26986	242899
SEEDGWAS1829	27038	242900
SEEDGWAS183	11865	241253
SEEDGWAS1830	27092	242901
SEEDGWAS1831	27097	242902
SEEDGWAS1832	27120	242903
SEEDGWAS1833	27121	242904
SEEDGWAS1834	27129	242905
SEEDGWAS1835	27166	242906
SEEDGWAS1836	27167	242907
SEEDGWAS1837	27831	242908
SEEDGWAS1838	27876	242909
SEEDGWAS1839	29061	242910
SEEDGWAS1840	9777	238678
SEEDGWAS1841	9858	238679
SEEDGWAS1842	9860	238680
SEEDGWAS1843	9863	238681
SEEDGWAS1844	9864	238682
SEEDGWAS1845	9884	238683
SEEDGWAS1846	9892	238684
SEEDGWAS1847	9896	238685
SEEDGWAS1848	9897	238686
SEEDGWAS1849	9948	238687
SEEDGWAS185	11907	241255
SEEDGWAS1850	9953	238688
SEEDGWAS1851	9957	238689
SEEDGWAS1852	9958	238690
SEEDGWAS1854	10031	238692
SEEDGWAS1855	10068	238693
SEEDGWAS1856	10094	238694
SEEDGWAS1857	10101	238695
SEEDGWAS1858	10108	238696
SEEDGWAS1859	10121	238697
SEEDGWAS186	11987	241256
SEEDGWAS1860	10270	238698
SEEDGWAS1862	10282	238700
SEEDGWAS1863	10299	238701
SEEDGWAS1864	10325	238702
SEEDGWAS1866	10909	238704
